# Frequency(cm-1)   Transmittance
3094.484742   0.000042
3097.681341   0.000041
3100.877939   0.000041
3104.074537   0.000040
3107.271136   0.000040
3110.467734   0.000039
3113.664332   0.000039
3116.860930   0.000038
3120.057529   0.000038
3123.254127   0.000037
3126.450725   0.000037
3129.647324   0.000036
3132.843922   0.000036
3136.040520   0.000036
3139.237119   0.000035
3142.433717   0.000035
3145.630315   0.000035
3148.826913   0.000034
3152.023512   0.000034
3155.220110   0.000034
3158.416708   0.000033
3161.613307   0.000033
3164.809905   0.000033
3168.006503   0.000033
3171.203102   0.000033
3174.399700   0.000032
3177.596298   0.000032
3180.792896   0.000032
3183.989495   0.000032
3187.186093   0.000032
3190.382691   0.000032
3193.579290   0.000031
3196.775888   0.000031
3199.972486   0.000031
3203.169085   0.000031
3206.365683   0.000031
3209.562281   0.000031
3212.758879   0.000031
3215.955478   0.000031
3219.152076   0.000031
3222.348674   0.000031
3225.545273   0.000031
3228.741871   0.000031
3231.938469   0.000031
3235.135068   0.000031
3238.331666   0.000031
3241.528264   0.000031
3244.724862   0.000031
3247.921461   0.000032
3251.118059   0.000032
3254.314657   0.000032
3257.511256   0.000032
3260.707854   0.000032
3263.904452   0.000032
3267.101051   0.000032
3270.297649   0.000033
3273.494247   0.000033
3276.690845   0.000033
3279.887444   0.000033
3283.084042   0.000034
3286.280640   0.000034
3289.477239   0.000034
3292.673837   0.000035
3295.870435   0.000035
3299.067034   0.000035
3302.263632   0.000036
3305.460230   0.000036
3308.656828   0.000037
3311.853427   0.000037
3315.050025   0.000038
3318.246623   0.000038
3321.443222   0.000039
3324.639820   0.000040
3327.836418   0.000040
3331.033017   0.000041
3334.229615   0.000042
3337.426213   0.000042
3340.622811   0.000043
3343.819410   0.000044
3347.016008   0.000045
3350.212606   0.000046
3353.409205   0.000047
3356.605803   0.000048
3359.802401   0.000049
3362.998999   0.000050
3366.195598   0.000052
3369.392196   0.000053
3372.588794   0.000054
3375.785393   0.000056
3378.981991   0.000057
3382.178589   0.000059
3385.375188   0.000061
3388.571786   0.000063
3391.768384   0.000065
3394.964982   0.000067
3398.161581   0.000070
3401.358179   0.000072
3404.554777   0.000075
3407.751376   0.000078
3410.947974   0.000081
3414.144572   0.000084
3417.341171   0.000088
3420.537769   0.000092
3423.734367   0.000096
3426.930965   0.000100
3430.127564   0.000105
3433.324162   0.000111
3436.520760   0.000116
3439.717359   0.000123
3442.913957   0.000130
3446.110555   0.000137
3449.307154   0.000146
3452.503752   0.000155
3455.700350   0.000166
3458.896948   0.000177
3462.093547   0.000190
3465.290145   0.000205
3468.486743   0.000221
3471.683342   0.000240
3474.879940   0.000260
3478.076538   0.000285
3481.273137   0.000313
3484.469735   0.000345
3487.666333   0.000383
3490.862931   0.000427
3494.059530   0.000480
3497.256128   0.000545
3500.452726   0.000622
3503.649325   0.000719
3506.845923   0.000840
3510.042521   0.000995
3513.239120   0.001200
3516.435718   0.001472
3519.632316   0.001854
3522.828914   0.002404
3526.025513   0.003243
3529.222111   0.004621
3532.418709   0.007088
3535.615308   0.012255
3538.811906   0.025971
3542.008504   0.085551
3545.205103   0.853994
3548.401701   0.143203
3551.598299   0.034386
3554.794897   0.014823
3557.991496   0.008187
3561.188094   0.005189
3564.384692   0.003574
3567.581291   0.002615
3570.777889   0.001996
3573.974487   0.001573
3577.171086   0.001274
3580.367684   0.001051
3583.564282   0.000884
3586.760880   0.000754
3589.957479   0.000650
3593.154077   0.000568
3596.350675   0.000500
3599.547274   0.000444
3602.743872   0.000397
3605.940470   0.000357
3609.137069   0.000323
3612.333667   0.000294
3615.530265   0.000269
3618.726863   0.000247
3621.923462   0.000228
3625.120060   0.000211
3628.316658   0.000196
3631.513257   0.000182
3634.709855   0.000170
3637.906453   0.000160
3641.103052   0.000150
3644.299650   0.000141
3647.496248   0.000133
3650.692846   0.000126
3653.889445   0.000119
3657.086043   0.000114
3660.282641   0.000108
3663.479240   0.000103
3666.675838   0.000098
3669.872436   0.000094
3673.069035   0.000090
3676.265633   0.000086
3679.462231   0.000083
3682.658829   0.000080
3685.855428   0.000077
3689.052026   0.000074
3692.248624   0.000071
3695.445223   0.000069
3698.641821   0.000067
3701.838419   0.000064
3705.035018   0.000063
3708.231616   0.000061
3711.428214   0.000059
3714.624812   0.000057
3717.821411   0.000056
3721.018009   0.000054
3724.214607   0.000053
3727.411206   0.000052
3730.607804   0.000050
3733.804402   0.000049
3737.001001   0.000048
3740.197599   0.000047
3743.394197   0.000046
3746.590795   0.000045
3749.787394   0.000044
3752.983992   0.000044
3756.180590   0.000043
3759.377189   0.000042
3762.573787   0.000041
3765.770385   0.000041
3768.966983   0.000040
3772.163582   0.000039
3775.360180   0.000039
3778.556778   0.000038
3781.753377   0.000038
3784.949975   0.000037
3788.146573   0.000037
3791.343172   0.000036
3794.539770   0.000036
3797.736368   0.000036
3800.932966   0.000035
3804.129565   0.000035
3807.326163   0.000035
3810.522761   0.000034
3813.719360   0.000034
3816.915958   0.000034
3820.112556   0.000034
3823.309155   0.000033
3826.505753   0.000033
3829.702351   0.000033
3832.898949   0.000033
3836.095548   0.000033
3839.292146   0.000033
3842.488744   0.000033
3845.685343   0.000032
3848.881941   0.000032
3852.078539   0.000032
3855.275138   0.000032
3858.471736   0.000032
3861.668334   0.000032
3864.864932   0.000032
3868.061531   0.000032
3871.258129   0.000032
3874.454727   0.000032
3877.651326   0.000032
3880.847924   0.000032
3884.044522   0.000032
3887.241121   0.000032
3890.437719   0.000032
3893.634317   0.000033
3896.830915   0.000033
3900.027514   0.000033
3903.224112   0.000033
3906.420710   0.000033
3909.617309   0.000033
3912.813907   0.000033
3916.010505   0.000034
3919.207104   0.000034
3922.403702   0.000034
3925.600300   0.000034
3928.796898   0.000035
3931.993497   0.000035
3935.190095   0.000035
3938.386693   0.000035
3941.583292   0.000036
3944.779890   0.000036
3947.976488   0.000036
3951.173087   0.000037
3954.369685   0.000037
3957.566283   0.000038
3960.762881   0.000038
3963.959480   0.000039
3967.156078   0.000039
3970.352676   0.000039
3973.549275   0.000040
3976.745873   0.000040
3979.942471   0.000041
3983.139070   0.000042
3986.335668   0.000042
3989.532266   0.000043
3992.728864   0.000043
3995.925463   0.000044
3999.122061   0.000045
4002.318659   0.000046
4005.515258   0.000046
4008.711856   0.000047
4011.908454   0.000048
4015.105053   0.000049
4018.301651   0.000050
4021.498249   0.000051
4024.694847   0.000051
4027.891446   0.000053
4031.088044   0.000054
4034.284642   0.000055
4037.481241   0.000056
4040.677839   0.000057
4043.874437   0.000058
4047.071036   0.000059
4050.267634   0.000061
4053.464232   0.000062
4056.660830   0.000063
4059.857429   0.000065
4063.054027   0.000066
4066.250625   0.000068
4069.447224   0.000070
4072.643822   0.000071
4075.840420   0.000073
4079.037019   0.000075
4082.233617   0.000077
4085.430215   0.000079
4088.626813   0.000081
4091.823412   0.000083
4095.020010   0.000086
4098.216608   0.000088
4101.413207   0.000091
4104.609805   0.000093
4107.806403   0.000096
4111.003002   0.000099
4114.199600   0.000102
4117.396198   0.000105
4120.592796   0.000108
4123.789395   0.000112
4126.985993   0.000115
4130.182591   0.000119
4133.379190   0.000123
4136.575788   0.000127
4139.772386   0.000131
4142.968984   0.000136
4146.165583   0.000140
4149.362181   0.000145
4152.558779   0.000150
4155.755378   0.000156
4158.951976   0.000162
4162.148574   0.000168
4165.345173   0.000174
4168.541771   0.000181
4171.738369   0.000188
4174.934967   0.000195
4178.131566   0.000203
4181.328164   0.000211
4184.524762   0.000219
4187.721361   0.000228
4190.917959   0.000238
4194.114557   0.000248
4197.311156   0.000259
4200.507754   0.000270
4203.704352   0.000282
4206.900950   0.000294
4210.097549   0.000308
4213.294147   0.000322
4216.490745   0.000337
4219.687344   0.000353
4222.883942   0.000369
4226.080540   0.000387
4229.277139   0.000406
4232.473737   0.000426
4235.670335   0.000448
4238.866933   0.000470
4242.063532   0.000495
4245.260130   0.000520
4248.456728   0.000548
4251.653327   0.000577
4254.849925   0.000608
4258.046523   0.000642
4261.243122   0.000678
4264.439720   0.000716
4267.636318   0.000757
4270.832916   0.000801
4274.029515   0.000847
4277.226113   0.000898
4280.422711   0.000952
4283.619310   0.001010
4286.815908   0.001073
4290.012506   0.001140
4293.209105   0.001213
4296.405703   0.001291
4299.602301   0.001376
4302.798899   0.001467
4305.995498   0.001566
4309.192096   0.001673
4312.388694   0.001788
4315.585293   0.001914
4318.781891   0.002051
4321.978489   0.002199
4325.175088   0.002361
4328.371686   0.002536
4331.568284   0.002728
4334.764882   0.002938
4337.961481   0.003167
4341.158079   0.003418
4344.354677   0.003693
4347.551276   0.003995
4350.747874   0.004327
4353.944472   0.004692
4357.141071   0.005095
4360.337669   0.005539
4363.534267   0.006031
4366.730865   0.006575
4369.927464   0.007178
4373.124062   0.007848
4376.320660   0.008593
4379.517259   0.009424
4382.713857   0.010352
4385.910455   0.011389
4389.107054   0.012552
4392.303652   0.013857
4395.500250   0.015325
4398.696848   0.016981
4401.893447   0.018850
4405.090045   0.020967
4408.286643   0.023367
4411.483242   0.026096
4414.679840   0.029205
4417.876438   0.032755
4421.073037   0.036817
4424.269635   0.041476
4427.466233   0.046832
4430.662831   0.053001
4433.859430   0.060122
4437.056028   0.068358
4440.252626   0.077899
4443.449225   0.088970
4446.645823   0.101832
4449.842421   0.116783
4453.039020   0.134170
4456.235618   0.154374
